Date,Product Link,Product Name,Brand,Star Rating,Number of Ratings,Original Price,Offer Price,Colour,Capacity,Wattage,Country of Origin,Home Kitchen Rank,Air Fryers Rank,Technical Details,Description
2/20/2023,https://www.amazon.in/VOIV-Intelligent-Multiple-Function-Dehydrator/dp/B0BQ34LKGM,VOIV Air Fryer Fully Au ATIC Intelligent 12L Large ty 1800W High Power Multiple Function Electric Oven Dehydrator,VOIV,4.3,Not Available,Not Available,"7,999.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"{'Brand': 'VOIV', 'Manufacturer': 'VOIV', 'Package Dimensions': '37 x 37 x 35.2 cm; 9.64 Kilograms', 'Item part number': 'HHMH45546EUMZYIN', 'Item Weight': '9 kg 640 g'}","['♦ This oven adopts 12L large ty space, 1800W large power, high efficiency, with timing, LED display, adjustable thermostat with touch s n and functions, can also be used as a dryer, air fryer, dehydrator, a wide range of applications.', '♦ The adjustable of this oven is 80-200℃, and the adjustable time is 0-60 minutes. The and time can be adjusted acco ing to different cooking materials and different needs, making delicious food easily.', '♦ This oven has built-in rotating grill, transparent glass cover with thickened glass panel, two layers of heat insulation Windows, to realize cooking under the premise of safety, watch the food cooking situation at any time, and master the time and .', '♦ This oven has two heating methods, heat pipe and hot air circulation at the same time, more powerful heat, more efficient cooking, with little or no oil, you can eat crispy food inside. You can enjoy your favorite foods without worrying about extra calories and fat.', '♦ The operation of this oven is very simple, with a digital touch s n control panel, it makes it easier to see the number of minutes, and controls or modes to cook different types of food.']"
2/20/2023,https://www.amazon.in/Bajiu-ligent-Multiple-Function-Electric/dp/B0BN3GVPSZ,Bajiu Air Fryer Fully Au ATIC ligent Visual 12L Large 1800W High Power Multiple Function Electric Oven Dehyd tor,Bajiu,4.5,Not Available,"51,723.27","31,033.00",Not Available,Not Available,Not Available,China,Not Available,Not Available,"{'Brand': 'Bajiu', 'Manufacturer': 'Bajiu', 'Item Weight': '7 kg 720 g', 'Item part number': 'WYXANBINH45546EU', 'Country of Origin': 'China'}","['e adjustable of is oven is 80-200℃, and e adjustable time is 0-60 minutes. e and time can be adjusted ac ding to different cooking materials and different needs, making cious food easily.', 'is visual oven adopts 12L large space, 1800W large power, high efficiency, wi timing, LED display, adjustable ermostat wi touch s n and functions, can also be used as a dryer, air fryer, dehyd tor, a wide nge of applications.', 'is oven has built-in rotating grill, nsparent glass cover wi i ened glass panel, two layers of heat insulation Windows, to re ze visual cooking under e premise of safe , watch e food cooking situation at any time, and master e time and .', 'e o tion of is oven is very simple, wi a touch s n control panel, it makes it easier to see e number of minutes, and controls or modes to cook different s of food.', 'is oven has two heating me ods, heat pi and hot air circulation at e same time, more powerful heat, more efficient cooking, wi little or no oil, you can eat crispy food inside. You can enjoy your favorite foods wi out worrying about ext calories a', 'Warranty not applicable for this product']"
2/20/2023,https://www.amazon.in/Electric-Digital-Nonstick-Control-Plug-Layfoo/dp/B09BTPY34Y,Air Fryer 1000W 3L Electric Hot Air Fryer Oven with LED Digital Screen Oil Free Nonstick Pot with Knob Timer Control Air Fryer EU Plug Black EU Plug-Layfoo,Layfoo,Not Available,Not Available,"49,997","23,659.00",Not Available,Not Available,1000 Watts,China,Not Available,Not Available,"{'Brand': 'Layfoo', 'Manufacturer': 'Layfoo', 'Product Dimensions': '30 x 21 x 20 cm; 2.52 Kilograms', 'Item part number': 'CXXLAYFOOH37647KTIN', 'Number Of Items': '1', 'Wattage': '1000 Watts', 'Country of Origin': 'China', 'Item Weight': '2 kg 520 g'}","['☆ Non-slip feet at the bottom of the device, small and portable, easy and convenient to operate.', '☆ Non-stick coating of the pot, easy to clean, durable for using.', '☆ 1000W air fryer for you to cook cious, oil-free and healthy food easily and fast.', '☆ Timer and control design ensure cious cooking and safety.', '☆ 3L large acity, equipped with a detachable non-stick food air frying pot, enough to cook snacks for your entire fa ly.']"
2/20/2023,https://www.amazon.in/VOUVOU-Intellect-Multifunctional-Intelligent-Temperature/dp/B09KM4BB4Q,VOUVOU Air Fryer Intellect Digital Screen Contact Control Air Fryer Multifunctional Oil-Free Healthy Air Fryer Intelligent Timing Temperature Resistant Air Fryer Electric 4.5L Air Fryer,VOUVOU,4.4,Not Available,Not Available,"9,399.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"{'Brand': 'VOUVOU', 'Manufacturer': 'VOUVOU', 'Package Dimensions': '34.5 x 30.5 x 30.5 cm; 6.42 Kilograms', 'Item part number': 'OMGH43131EUTNIN', 'Item Weight': '6 kg 420 g'}","['🥁[[Healthy]This air fryer does not need oil when cooking and is more suitable for modern and healthy living concepts. Less oil and no fat. No frying is healthier. Smart cooking, no oily fume. You can easily cook food at home.', '🥁[[Multifunction]This air fryer can not only preheat, keep warm, and keep the food in the best state but also can intelligently time it, allowing you to cook more easily. At the same time, there are 6 gourmet cooking modes, covering snacks, meat, seafood, cakes, etc., allowing you to easily enjoy a variety of delicious dishes.', '🥁[[Safe]This air fryer is detachable, and the pull-out basket is very convenient to take. There is also a power-off memory function. When you need to pull out the frying basket to check the food status and remove the pan, it will automatically disconnect the power supply, making it safer to use.', '🥁[[Big Screen]This air fryer is equipped with a large display screen. The screen display is clear, there is a sensing device, and can be operated through the screen. The screen is sensitive, you can easily switch the fryer function, and the operation is very convenient.', '🥁[[Fast]This air fryer has a surrounding three-dimensional air guide groove, multiple heat dissipation systems, and the hot air circulates at a uniform speed. The energy gathering effect is stronger, the baking time is reduced, and the cooking time is shorter.']"
2/20/2023,https://www.amazon.in/Texet-Electric-Temperature-Dual-Rack-Stainless/dp/B09296WYKK,"Texet Electric Oilless Air Fryer with 7 Menus and Timer & Temperature Control, Nonstick 3.2L Dual-Rack Fry Basket with Stainless Steel Finish, 1400W, Digital LED Display, And Auto Shut-off",Texet,4.1,8,"14,999","5,699.00",Black&White,3.2 litres,1400 Watts,China,686018,,"{'Special Feature': 'Temperature Control', 'Colour': 'Black&White', 'Capacity': '3.2 litres', 'Material': 'Polypropylene, Metal', 'Recommended Uses For Product': 'Roast, Defrost', 'Item Weight': '4.24 Kilograms', 'Brand': 'Texet', 'Wattage': '1400 Watts', 'Voltage': '240 Volts', 'Control Method': 'Touch', 'Model Name': 'AF-612', 'Has Nonstick Coating': 'Yes', 'Min Temperature Setting': '80 Degrees Celsius', 'Max Temperature Setting': '200 Degrees Celsius', 'Manufacturer': 'Hira House Ltd', 'Country of Origin': 'China', 'Item model number': 'AF-612', 'ASIN': 'B09296WYKK'}","['DIGITAL LED DISPLAY: Texet Electric Air Fryer comes with an easy-to-use digital LED display that presents cooking modes, temperature control and intuitive cooking timers.', 'OIL-FREE: The Texet Electric Oilless Air Fryer can cook dishes up to 80% less fat for healthy diets and allows you to make crispy fries and side dishes with almost no oil. Cooking with our air fryer oven is a fun and easy way to make healthy and delicious meals for your family. The AirFryer Combo is the best part, as this AirFryer comes with a recipe book.', ""MULTIFUNCTION: 7 selectable menus can satisfy most of your cooking needs (defrost, french fries, chicken wings, chicken legs, meat, shrimp, fish, and cake). Time & Temperature controls enable different cooking preferences. Just select the menu and set the Time & Temperature and you're done. Use can also use this Air Fryers for gym food."", ""RAPID AIR CIRCULATION TECHNOLOGY: 360° hot air circulation system enables you to make different gourmet dishes by frying, grilling, baking, and roasting for healthier, faster, and easier meals. It's an energy-efficient and healthy alternative for a convection oven."", 'WARRANTY FROM TEXET: We provide a 1-year manufacturer warranty together with your purchase.']"
2/20/2023,https://www.amazon.in/Copper-Oven-Air-Fryer-Turn/dp/B074Q4RMBM,Copper Oven Air Fryer - Turn your Oven Into An Air Fryer,TV DIrect,3.8,Not Available,Not Available,"4,742.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"{'Item model number': 'H-02619', 'ASIN': 'B074Q4RMBM'}",['programmable']
2/20/2023,https://www.amazon.in/Nutricook-Tempered-Programs-function-Warranty/dp/B09VDQ8XGB,"Nutricook Air Fryer Mini, 1500 Watts, Digital Display, Tempered Glass Control Panel, 8 Preset Programs with built-in Preheat function, 3.0 Liters, Red, 2 Years Warranty, AF103",Nutricook,4,1,"11,999","8,999.00",Red,3 litres,1500 Watts,China,132238,48,"{'Colour': 'Red', 'Capacity': '3 litres', 'Material': 'Plastic', 'Item Weight': '4.5 Kilograms', 'Brand': 'NUTRICOOK', 'Wattage': '1500 Watts', 'Voltage': '220 Volts', 'Control Method': 'Touch', 'Has Nonstick Coating': 'Yes', 'Min Temperature Setting': '75 Degrees', 'Is Dishwasher Safe': 'Yes', 'Max Temperature Setting': '200 Degrees', 'Manufacturer': 'Caliber Brands FZE', 'Country of Origin': 'China', 'Item model number': 'AF103R', 'ASIN': 'B09VDQ8XGB'}","['Mini but mighty. The air fryer mini makes food with less fat than traditional deep frying while maintaining the same delicious fried flavor. include (1) 1500 watt air fryer (1) air fryer basket (1) cooking tray (1) user guide', 'Smarttemp technology. our breakthrough smarttemp technology automatically adjusts temperature to make everything super crispy on the outside and tender on the inside', 'Shake reminder. the air fryer mini comes with the helpful shake reminder, letting you know when to shake the contents for an even fry', 'Cook-at-a-touch. just hit one of our 8 one-touch presets for perfectly cooked food every single time', 'A clear advantage. our non-stick basket and cooking tray are pfoa-free, bpa-free and dishwasher-safe, too']"
2/20/2023,https://www.amazon.in/DCAF250GBAQ02-AirCrisp-Electric-Temperature-Control/dp/B082QKB8Z4,"Dash DCAF250GBAQ02 AirCrisp Pro Electric Air Fryer + Oven Cooker with Temperature Control, Non Stick Fry Basket, Recipe Guide + Auto Shut Off Feature, 2qt, Aqua",Dash,3.7,478,"25,999","15,597.00",Aqua,1.89 litres,1000 Watts,USA,Not Available,Not Available,"{'Special Feature': 'Manual', 'Colour': 'Aqua', 'Capacity': '1.89 litres', 'Output Wattage': '1000 Watts', 'Item Weight': '2.77 Kilograms', 'Brand': 'DASH', 'Wattage': '1000 Watts', 'Voltage': '110 Volts', 'Control Method': 'Touch', 'Model Name': 'AirCrisp Pro Electric Air Fryer + Oven Cooker', 'Has Nonstick Coating': 'Yes', 'Is Dishwasher Safe': 'Yes', 'Manufacturer': 'Dash', 'Country of Origin': 'USA', 'Item model number': 'DCAF250GBAQ02', 'ASIN': 'B082QKB8Z4'}","['HEALTHIER FRIED FOOD: DASH air fryer pro uses AirCrisp technology (instead of oil) to help reduce added fat by 70-80%, without sacrificing the flavor of your fried food (no more residual smell hours after you’ve eaten)', 'QUICK + EASY: Short on time? Simply load the 2 qt capacity fryer basket, set the temp, and set the timer. Your food comes out crispy, EVERY TIME. And in less time than it takes to pre-heat your oven, making it more energy efficient', 'SAFER: the auto-shut off function prevents overcooking, and the cool touch housing and handle makes it safer to use. It’s so simple, even your kids can use it! (bonus, the nonstick fryer basket is dishwasher safe for even easier cleanup! )', 'VERSATILE: this is the perfect appliance for picky eaters, smaller portions, or those who have busy schedules. Appetizers to desserts, chicken wings, French fries, even baked goods, and all within minutes of setting the timer - it couldn’t be easier!', 'INCLUDES: Backed by a 1 year manufacturer (2 year with Feel Good Rewards), the 1000W AirCrisp Pro comes with recipe guide companion cookbook (15+ recipes that go beyond fries, ) and recipe database access. Available in Black, Red, and Aqua']"
2/20/2023,https://www.amazon.in/Nutricook-Tempered-Airfryer-Programs-AF103K/dp/B09VDPB3VT,"Nutricook Air Fryer Mini, 1500 Watts, Digital Display, Tempered Glass Control Panel, Airfryer with 8 Preset Programs with built-in Preheat function, 3.0 Liters, Black, 2 Years Warranty, AF103K",Nutricook,5,6,"11,999","7,999.00",Black,3 litres,1500 Watts,China,625406,79,"{'Product Dimensions': '23D x 28W x 29.8H Centimeters', 'Colour': 'Black', 'Capacity': '3 litres', 'Material': 'Plastic', 'Output Wattage': '1500 Watts', 'Item Weight': '4.5 Kilograms', 'Brand': 'NUTRICOOK', 'Wattage': '1500 Watts', 'Voltage': '220 Volts', 'Control Method': 'Touch', 'Model Name': 'Air Fryer Mini', 'Has Nonstick Coating': 'Yes', 'Min Temperature Setting': '75 Degrees', 'Is Dishwasher Safe': 'Yes', 'Max Temperature Setting': '200 Degrees', 'Manufacturer': 'caliber FZE', 'Country of Origin': 'China', 'Item model number': 'AF103K', 'ASIN': 'B09VDPB3VT'}","['Mini but mighty. The Air Fryer Mini makes food with less fat than traditional deep frying while maintaining the same delicious fried flavor. Include (1) 1500 watt air fryer (1) air fryer basket (1) cooking tray (1) user guide', 'SmartTemp Technology. Our breakthrough SmartTemp technology automatically adjusts temperature to make everything super crispy on the outside and tender on the inside.', 'Shake Reminder. The Air Fryer Mini comes with the helpful Shake reminder, letting you know when to shake the contents for an even fry.', 'Cook-at-a-touch. Just hit one of our 8 one-touch presets for perfectly cooked food Every. Single. Time.', 'A clear advantage. Our non-stick basket and cooking tray are PFOA-free, BPA-free and dishwasher-safe, too']"
2/20/2023,https://www.amazon.in/NUTRICOOK-Nutribullet-Electric-Stainless-Black/dp/B091NRLB9V,"Nutricook AirFryer 2, 1700 Watts, Digital Control Panel Display, 10 Preset Programs with built-in Preheat function, 5.5 liter Black, 2 Years Warranty, AF205K",Nutricook,3.8,298,"12,999","8,999.00",Black,5.5 litres,1700 KW,China,28350,23,"{'Special Feature': 'Temperature Control', 'Product Dimensions': '36D x 41W x 41H Centimeters', 'Colour': 'Black', 'Capacity': '5.5 litres', 'Material': 'Stainless Steel', 'Recommended Uses For Product': 'Reheat', 'Output Wattage': '1700 Watts', 'Item Weight': '6 Kilograms', 'Brand': 'Nutricook', 'Wattage': '1700 KW', 'Voltage': '220', 'Control Method': 'Touch', 'Model Name': 'Airfryer 2', 'Has Nonstick Coating': 'Yes', 'Is Dishwasher Safe': 'Yes', 'Manufacturer': '1 West 2nd Road, HU Town, Jinyun, 321404 Zhejiang, China. 1800 572 6035', 'Country of Origin': 'China', 'Item model number': 'AF205 Black', 'ASIN': 'B091NRLB9V'}","['Sleek design. Premium brushed stainless steel finish, compact size.', 'SmartTemp technology. Our breakthrough SmartTemp technology automatically adjusts temperature to make everything super crispy on the outside and tender on the inside.', 'Shake reminder. The Air Fryer 2 comes with the helpful Shake reminder, letting you know when to shake the contents for an even fry.', 'Premium air fry basket. PFOA-free, BPA-free, non stick coating and dishwasher safe. It has more usable space to put more food than a round design basket.', '2 years warranty against defects in materials and workmanship from the date of original retail purchase.', '85% Less Fat: The Air Fryer 2 makes food with up-to 85% less fat than traditional deep frying while maintaining the same delicious fried flavor.', '10 one-touch presets for perfectly cooked food Every. Single. Time.']"
2/20/2023,https://www.amazon.in/AMERICAN-MICRONIC-AMI-AF1-1500WDx-1500-Technology-AMI-AF1-35CLDx-Mechanical/dp/B09BQLLBDH,"AMERICAN MICRONIC-Imported Air Fryer, 1500 Watts 5 Litre with 3.5 litre basket with Turbo Tunnel Fresh Air Technology, 8 preset menus, New Model-Black & Silver- AMI-AF1-1500WDx-Mechanical",AMERICAN MICRONIC INSTRUMENTS,Not Available,25,"9,730","5,465.00",Black and silver,5 litres,1500 Watts,China,108257,42,"{'Colour': 'Black and silver', 'Capacity': '5 litres', 'Material': 'Plastic', 'Output Wattage': '1500 Watts', 'Brand': 'AMERICAN MICRONIC INSTRUMENTS', 'Wattage': '1500 Watts', 'Voltage': '220 Volts', 'Has Nonstick Coating': 'Yes', 'Country of Origin': 'China', 'Item model number': 'AMI-AF1-1500WDx-Mechanical', 'ASIN': 'B09BQLLBDH'}","['AMERICAN MICRONIC - No 1 in Indian Customer Amazon Ratings- 100% Imported with 2 Years India warranty', '30 Minutes Timer with adjustable temperature control for the perfect result', 'TurboTunnel Freshair technology with Non-stick frying basket', 'TurboTunnel Freshair technology with Non-stick frying basket', 'All spare parts are available for warranty & post-warranty repairs', 'AMERICAN MICRONIC is an Indian-owned brand with global ambitions and footprint. The vision is to make an Indian-owned world-class brand of home appliances, that competes with the largest multinationals in the most advanced countries ie: the USA, Europe & Middle East, by offering better product quality, service delivery, and value for money.', 'FREE 5-year back-to-back replacement of electrical parts (heating elements, Thermostat, Motor)']"
2/20/2023,https://www.amazon.in/Zhangxi-Intellect-Multifunctional-Intelligent-Temperature/dp/B09MHY1XPB,Zhangxi Air Fryer Intellect Digital S n Contact Control Air Fryer Multifunctional Oil-Free Heal y Air Fryer Intelligent Timing Temperature Resistant Air Fryer Electric 4.5L Air Fryer,Zhangxi,4,Not Available,"29,551","17,388.00",Not Available,Not Available,Not Available,China,Not Available,Not Available,"{'Brand': 'Zhangxi', 'Manufacturer': 'Zhangxi', 'Package Dimensions': '30.5 x 30.5 x 30.5 cm; 34.5 Grams', 'Item part number': 'ZZYH43131EUDCIN', 'Country of Origin': 'China', 'Item Weight': '34.5 g'}","['[Heal y] is air fryer does not need oil when cooking and is more suitable for modern and heal y living concepts. L oil and no fat. No frying is heal ier. Smart cooking, no oily fume. You can easily cook food at home.', '[Multifunction] is air fryer can not only preheat, keep warm, and keep e food in e best state but also can intelligently time it, allowing you to cook more easily. At e same time, ere are 6 gourmet cooking modes, covering sna s, meat, seafood, cakes, etc., allowing you to easily enjoy a varie of cious dishes.', '[Safe] is air fryer is detachable, and e pull-out basket is very convenient to take. ere is also a power-off memory function. When you need to pull out e frying basket to che e food status and remove e pan, it will au atically disconnect e power ply, making it safer to use.', '[Big S n] is air fryer is equipped wi a large display s n. e s n display is clear, ere is a sensing device, and can be operated rough e s n. e s n is sensitive, you can easily switch e fryer function, and e operation is very convenient.', '[Fast] is air fryer has a surrounding ree-dimensional air guide groove, multiple heat dissipation systems, and e hot air circulates at a uniform speed. e energy ga ering effect is stronger, e baking time is reduced, and e cooking time is shorter.', 'Warranty not applicable for this product']"
2/20/2023,https://www.amazon.in/PHILIPS-Technology-Collection-1-5-Litre-500-Watt/dp/B0BRG69XRV,"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, 4.1 Liter, with Rapid Air Technology (Black), Large & Viva Collection HR1832/00 1.5-Litre 500-Watt Juicer (Ink Black)",PHILIPS,3.8,Not Available,"16,098.00","16,098.00",Not Available,Not Available,Not Available,Not Available,196775,54,{'ASIN': 'B0BRG69XRV'},"['Product 1: Philips Airfryer HD9252/90 (Large, 4.1 L) lets you cook great tasting food with up to 90% less fat*', 'Product 1: Patented Rapid Air technology with unique starfish design pan ensures evenly fried results without flipping the food', 'Product 1: Fry. Bake. Grill. Roast. And even reheat!', 'Product 1: Touch screen with 7 presets and Keep Warm Function. Try new recipes at the touch of a button.', 'Product 2: Philips is India’s No.1\xa0juice extractor\xa0brand (Source: Euromonitor International Limited; Consumer Appliances 2022ED)', 'Product 2: Material housing: ABS Plastic and Material jug: PP Plastic', 'Product 2: Direct serve, QuickClean sieve and can see-through pulp container', 'Product 2: Make up to 1.5 litre in one go. Integrated pulp container. Non-slip feet, safety clamps and integrated cord storage']"
